Dados do Plano de Aplicação SENASP,,,,,,,,,,Dados do Projeto,,,,,Dados da Execução,,,,,,,,Monitoramento,,,5/2/2026
Ano,Programa,Nº TA,Objeto,Descrição do Objeto,Quantidade do plano,Unidade de Medida,Valor (R$),Aplicação,Municípios beneficiados,SGP-e Projeto,Objeto do Projeto,Ano Entrega,Quantidade do projeto,Valor do projeto,SGP-e Execução,Link SGPe execução,Objeto Executado,Modalidade de Contratação,Quantidade executada,Valor Executado,Ano da Execução,Sgpe Status Report,Cronograma,Último Report (data),Status Report,
2023,MQV,TA 24/2023,Equipamentos para Academia de Musculação,Aquisição de Conjuntos de equipamentos de Academia de Musculação,5,Conjunto,"R$ 1.009.824,19",Investimento,"Canoinhas, Curitibanos, Xanxerê, Palhoça, Herval do Oeste",PMSC 64514/2025,Equipamentos para Academia de Musculação,,,,,,,,,,,,Projeto apensado,,,
2023,MQV,TA 24/2023,Serviços de psicoterapia,Contratação de serviço de atendimento de psicoterapia para policiais militares,3366,Atendimento,"R$ 1.009.824,20",Custeio,Todo o Estado de Santa Catarina,,,,,,,,,,,,,,Projeto não iniciado,,,
2024,MQV,TA 72/2024,Equipamentos para Academia de Musculação,Aquisição de Conjuntos de equipamentos de Academia de Musculação,4,Conjunto,"R$ 975.735,22",Investimento,Todo o Estado de Santa Catarina,PMSC 64514/2025,Equipamentos para Academia de Musculação,2026,,"R$ 5.681.710,44",PMSC 64514/2025,"https://sgpe.sea.sc.gov.br/cpav/visualizarProcesso.do?processoPK=64681,6141,2025",,Nova Licitação,,,,PMSC 20618/2026,M6 – Plano de Trabalho FESP e de Localização de Bens FESP concluídos,16/04/2026,Projeto finalizado em 16/04/2026. Tramitado para o FESP em 16/04/2026,
2024,MQV,TA 72/2024,Serviços de psicoterapia,Serviços de psicoterapia,1100,Atendimento,"R$ 330.000,00",Custeio,Todo o Estado de Santa Catarina,,,,,,,,,,,,,,Projeto não iniciado,,,
2025,MQV,TA 72/2025,Equipamentos para Academia de Musculação,Aquisição de Conjuntos de equipamentos de Academia de Musculação,4,Conjunto,"R$ 2.204.031,67",Investimento,Estado de Santa Catarina,PMSC 64514/225,Equipamentos para Academia de Musculação,,,,,,,Nova Licitação,,,,,Projeto apensado,20/03/2026,Atualização do Orçamento e revisão final dos documentos de pré-certame,
2023,RMV,TA 24/2023,Munições,"Projeto Tropa Treinada: Munições de calibres: 9mm, 5,56, 7,62 e 12",727822,Unidade,"R$ 3.272.131,86",Custeio,Estado de Santa Catarina,PMSC 8328/2026,Munições,2025,920.000,"R$ 3.263.980,00",PMSC 8328/2026,"https://sgpe.sea.sc.gov.br/cpav/visualizarProcesso.do?processoPK=8362,6141,2026",,Pedido em Ata Própria,,,,PMSC 8481/2026,M4 – Plano de Projeto aprovado,30/04/2026,"Projeto foi alterado para pedido na ARP 132/SSP. A mudança foi realizada em razão de maior celeridade e economia processual; PGP Alterado, Plano de Localização de Bens alterado; Plano de Trabalho Alterado; processo sem rebimento pela SSP (de 12/02 a 24/02 e 02/03/2026); solicitado remanejamento da cota da PMSC para o FESP. Deferido; Processo instruído para análise do FESP",
2024,RMV,TA 70/2024,Munições,Munições operacionais calibre: 9mm e cal. 12,242800,Unidade,"R$ 3.642.404,61",Custeio,151 Municípios com registro de Morte Violenta no ano de 2024,"PMSC 47544/2025
PMSC 14533/2026",Fornecimento de munições calibre 9mm e calibre 12 AM-403/P para emprego operacional,,,,,,,Inexigibilidade ,,,,,M2 – Termo de Abertura de Projeto,,,
2023,RMV,TA 24/2023,TASER-10,"KIT DCE (ARMA DE INCAPACITAÇÃO NEUROMUSCULAR TASER10 + BATERIA RECARREGÁVEL TASER 10 + CARREGADOR DE BATERIA, + CARREGADOR (MAGAZINE) OPERACIONAL PARATASER 10) + LICENÇA TASER 10",428,Unidade,"R$ 5114974,34",Investimento,"Blumenau,  Criciúma, Joinville, Tijucas, Balneário Piçarras,  Biguaçu, Braço do Norte, Campos Novos,  Canelinha, Chapeco, Florianópolis, São José,  Camboriú, Itapema, Lages, Barra Velha, Itajaí,  Faxinal do Guedes, Formosa do Sul, Garopaba,  Gaspar, Imbituba, Indaial, Ituporanga",PMSC 166/2025,TASER-10,2024,428,"R$ 5.103.728,80",PMSC 166/2025,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9MTY2LDYxNDEsMjAyNSIsImN1cnJlbnRNb2R1bGUiOnsiY2RNb2R1bG8iOiJTR1BFIiwiY2RTaXN0ZW1hIjoiMSIsIm5tTW9kdWxvIjoiIn19,,Adesão em Ata,,,,PMSC 8827/2026,M12 – Contrato assinado,24/02/2025,"Aguardando emissão da Carta de Crédito; Foi realizado contato no dia de hoje, 24/02, por parte da AXON, que solicitou apoio na emissão de procuração para poder iniciar as tratativas de importação e ou desembaraço dos equipamentos; Processo empenho. Está na GEAFC",
2024,RMV,TA 70/2024,Equipamento de Rádiocomunicação,"Rádios portáteis, móveis, fixos e repetidoras",330,Unidade,"R$ 6.600.000,00",Investimento,Rio do Sul,SSP 4238/2025,Equipamentos para radiocomunicação,2025,,"R$ 7.071.570,74",SSP 4238/2025,"https://sgpe.sea.sc.gov.br/cpav/visualizarProcesso.do?processoPK=4241,6968,2025",,Adesão em Ata,,,,,M10 – Termo de Adesão Emitido,27/03/2026,Processo foi para pré-empenho.Pré-empenhado; Está no GGG; Termo de Adesão publicado,
2024,RMV,TA 70/2024,Computadores,"Microcomputador de alto desempenho para análise e processamento de dados e evidências, para a criação de diagnóstico",6,Unidade,"R$ 300.000,00",Investimento,Florianópolis,PMSC 48632/2025,Microcomputador tipo WORKSTATION com Monitormultimídia,2025,,"R$ 242.935,84",PMSC 48632/2025,"https://sgpe.sea.sc.gov.br/cpav/visualizarProcesso.do?processoPK=48774,6141,2025",,Adesão em Ata,,,,PMSC 10328/2026,M9 – Parecer jurídico emitido,01/042026,Fornecedor solicitou reequilíbrio financeiro; o pedido foi tramitado para a PGE que demandou comprovação da situação fática sob pena de negar o pedido; juntada nova manifestação do fiscal do contrato; processo está na COJUR para NOVO parecer jurídico; Parecer jurídico desfavorável. Ou a empresa cumpre o contrato ou ele será rescindido e poderá ser sancionada.,
2024,RMV,TA 70/2024,Mobiliário,Aquisição de Cadeiras estilo COPOM Presidente,150,Unidade,"R$ 150.000,00",Investimento,COPOM,,,,,,,,,,,,,,Projeto não iniciado,,,
2024,RMV,TA 70/2024,Ar-condicionado,Ar condicionados para climatização dos COPOM,150,Unidade,"R$ 105.000,00",Investimento,COPOM,,,,,,,,,,,,,,Projeto não iniciado,,,
2024,RMV,TA 70/2024,Computadores,Microcomputadores e segunda tela para os COPOMs,347,Unidade,"R$ 741.944,12",Investimento,COPOM,,,,,,,,,,,,,,Projeto não iniciado,,,
2024,RMV,TA 70/2024,Viatura Policial,"Veículo tipo Van para emprego Antibomba, Posto de Comando e Transporte de Tropa",1,Viatura PM,"R$ 600.000,00",Investimento,São José,PMSC 14486/2025,Aquisição  de  01  (um)  veículo  do  tipo  Furgão  adaptado  ao  transporte  de equipamentos  do  Grupo  Antibomba  do  Batalhão  de  Operações  Policiais  Especiais,2025,,"R$ 519.333,33",PMSC 14486/2025,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9MTQ1NTUsNjE0MSwyMDI1IiwiY3VycmVudE1vZHVsZSI6eyJjZE1vZHVsbyI6IlNHUEUiLCJjZFNpc3RlbWEiOiIxIiwibm1Nb2R1bG8iOiIifX0%3D,,Nova Licitação,,,,,M7 – Planos FESP aprovados,14/04/2026,Aguardando liberação do superavit para pré-empenhar; Processo seguiu para a GELIC para análise da documentação pré-certame; analisado pela GELIC; seguiu para SEA / Edital; juntado despacho do EPPM com orientações para correção.,
2022,RMV,TA 48/2022,Viatura Policial,Aquisição de viaturas semi-blindadas nível III-A tipo SUV,26,Viatura PM,"R$ 12.428.151,49",Investimento,Estado de Santa Catarina,PMSC 3924/2024,Viatura Policial,2024,38,"R$ 13.246.800,00",PMSC 3924/2024,"https://sgpe.sea.sc.gov.br/cpav/visualizarDocumentosProcesso.do?processoPK=3927,6141,2024&itemAba=aba_pecas",Viatura Policial,Adesão em Ata,38,"R$ 13.246.800,00",2024,,M18 – Termo de Encerramento juntado,,Projeto encerrado sem Relatório de conclusão de projeto,
2021,RMV,TA 48/2021,Viatura Policial,Aquisição de viaturas semi-blindadas nível III-A tipo SUV,0,Viatura PM,"R$ 0,00",Investimento,Estado de Santa Catarina,PMSC 3924/2024,Viatura Policial,2024,4,"R$ 1.394.400,00",PMSC 3924/2024,"https://sgpe.sea.sc.gov.br/cpav/visualizarDocumentosProcesso.do?processoPK=3927,6141,2024&itemAba=aba_pecas",Viatura Policial,Adesão em Ata,4,"R$ 1.394.400,00",2024,,M18 – Termo de Encerramento juntado,,Projeto encerrado sem Relatório de conclusão de projeto,
2020,RMV,TA 48/2020,Viatura Policial,Aquisição de viaturas semi-blindadas nível III-A tipo SUV,0,Viatura PM,"R$ 0,00",Investimento,Estado de Santa Catarina,PMSC 3924/2024,Viatura Policial,2024,2,"R$ 697.200,00",PMSC 3924/2024,"https://sgpe.sea.sc.gov.br/cpav/visualizarDocumentosProcesso.do?processoPK=3927,6141,2024&itemAba=aba_pecas",Viatura Policial,Adesão em Ata,2,"R$ 697.200,00",2024,,M18 – Termo de Encerramento juntado,,Projeto encerrado sem Relatório de conclusão de projeto,
2019,RMV,TA 14/2019,Viatura Policial,Aquisição de viaturas semi-blindadas nível III-A tipo SUV,0,Viatura PM,"R$ 0,00",Investimento,Estado de Santa Catarina,PMSC 3924/2024,Viatura Policial,2024,28,"R$ 9.760.800,00",PMSC 3924/2024,"https://sgpe.sea.sc.gov.br/cpav/visualizarDocumentosProcesso.do?processoPK=3927,6141,2024&itemAba=aba_pecas",Viatura Policial,Adesão em Ata,28,"R$ 9.760.800,00",2024,,M18 – Termo de Encerramento juntado,,Projeto encerrado sem Relatório de conclusão de projeto,
2022,RMV,TA 48/2022,Fardamento,Aquisição de Fardamento para a APMT,3800,Conjunto,"R$ 5.326.350,65",Custeio,Estado de Santa Catarina,PMSC 40469/2024,Fardamento,,,,PMSC 15176/2026,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9MTYzMzMsNjE0MSwyMDI2IiwiY3VycmVudE1vZHVsZSI6eyJjZE1vZHVsbyI6IlNHUEUiLCJjZFNpc3RlbWEiOiIxIiwibm1Nb2R1bG8iOiIifX0%3D,,Pedido em Ata Própria,,,,,M13 – Entrega ou serviço realizado,14/04/2026,Encaminhado SGP-e para a APMT para solicitar o fornecimento do saldo da Ata; Pré-empenho emitido; Minuta de contrato emitida,
2022,RMV,TA 48/2022,Pós-graduação,"Pós-graduação em nível de Mestrado, mediante Convênio com a UFSC",,,,,,,,,,,,,,,,,,,Projeto cancelado,,,
2024,RMV,TA 70/2024,TASER-10,"Aquisição de TASER-10, bateria, carregador e cartucho, Item 1 da Ata PRF + Taser Treinamento",53,Conjunto,"R$ 717.112,09",Investimento,Itapoá; Jardinópolis; Lajeado Grande; Lauro Müller; Lebon Régis; Mafra; Navegantes; Ouro Verde; Palhoça; Penha; Ponte Serrada; Porto Belo; Rio do Sul; Santo Amaro da Imperatriz; São Bento do Sul; São Francisco do Sul; São João Batista; Seara; Três Barras; Xanxerê,,,,,,,,,Adesão em Ata,,,,,M1 – Project Model Canvas adaptado,22/04/2026,Elaboração do PMC. ,
2024,RMV,TA 70/2024,TASER-10,Cartucho para AINM,2920,Unidade,"R$ 307.333,76",Custeio,"Comandos Regionais de Florianópolis; 
Lages; Balneário Camboriú; Chapecó; Joinville; Criciúma; Blumenau;São José; Jaraguá do Sul; Joaçaba.",,,,,,,,,Adesão em Ata,,,,,M1 – Project Model Canvas adaptado,22/04/2026,Elaboração do PMC. ,
2022,RMV,TA 48/2022,Viatura Policial,Projeto de aquisição de Viaturas Operacionais parcialmente blindadas,12,Viatura PM,"R$ 2.925.000,00",Investimento,A identificar,A criar,,,,,,,,,,,,,M1 – Project Model Canvas adaptado,05/03/2026,Agendar reunião com a Major Lopes para confecção do projeto; Canvas aprovado. Documentos para adesão.,
2019,RMV,TA 14/2019,Viatura Policial,"Projeto destina-se a redução de mortes violentas nos municípios com elevado CVLI, por meio da aquisição de viaturas para emrego na radiopatrulha",36,Viatura PM,,Investimento,A identificar,PMSC 80454/2021,,,,,,,,,,,,,M19 – Termo de Encerramento juntado,22/04/2026,Projeto encerrado sem Relatório e sem termo de encerramento,
2019,RMV,TA 14/2019,Munições,"Projeto destina-se a redução de mortes violentas nos municípios com elevado CVLI, por meio da aquisição de munições para emprego operacional",,Unidade,,Custeio,,,,,,,,,,,,,,,M19 – Termo de Encerramento juntado,22/04/2026,Projeto encerrado sem Relatório e sem termo de encerramento,
2019,RMV,TA 14/2019,Cintos de Guarnição,"Projeto destina-se a rediução de mortes violentas nos municípios com elevado CVLI, por meio da aquisição de cintos de guarnição para emprego operacional",,Unidade,,Custeio,,,,,,,,,,,,,,,M19 – Termo de Encerramento juntado,22/04/2026,Projeto encerrado sem Relatório e sem termo de encerramento,
2024,MQV,TA 72/2024,Equipamentos de raio-x portáteis digitais de uso odontológico,Projeto para Exames de saúde bucal preventivos,2,Unidade,"R$ 35.000,00",Investimento,Florianópolis (DSPS),,,,,,,,,,,,,,Projeto apensado,,,
2022,RMV,TA 48/2022,Munições,Projeto para aquisição de munições operacionais com saldo remanescente do FESP,105000,Unidade,"R$ 1.058.377,42",Custeio,A identificar,PMSC 14533/2026,,,,,,,,,,,,,M1 – Project Model Canvas adaptado,22/04/2026,Processo está com o CMB para definição dos requisitos do projeto.,
